Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Through the Leaves Traverse","Cresheim Valley Drive Boulders > Cresheim Valley > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120046442/through-the-leaves-traverse,1.0,-1,Boulder,V0+,1,12,40.06357,-75.19987
"William's Roof","Cresheim Valley Drive Boulders > Cresheim Valley > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120046329/williams-roof,2.0,-1,Boulder,V1+,1,12,40.06357,-75.19987
"Roof Deck","Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119304989/roof-deck,1.0,-1,Boulder,V0-,1,,40.06253,-75.22206
Tributaries,"Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119720633/tributaries,2.0,-1,Boulder,V0,1,,40.06253,-75.22206
"The Delaware","Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119420630/the-delaware,2.0,-1,Boulder,V0,1,,40.06253,-75.22206
"Belly Up","Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119304922/belly-up,2.0,-1,Boulder,V0,1,,40.06253,-75.22206
"Green Anaconda","Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120395055/green-anaconda,2.0,-1,Boulder,V0+,1,,40.06253,-75.22206
"Dueling Snakes","Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119304946/dueling-snakes,2.0,-1,Boulder,V0+,1,,40.06253,-75.22206
Crawlspace,"Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119304968/crawlspace,3.0,-1,Boulder,V2,1,,40.06253,-75.22206
Ouroburlos,"Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120394910/ouroburlos,3.0,-1,Boulder,V2,1,,40.06253,-75.22206
"Ouroburlos Sit (Project)","Dueling Snakes Wall > The Wissahickon Grit > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120395002/ouroburlos-sit-project,3.0,-1,Boulder,V4-5,1,,40.06253,-75.22206
"Take It or Leave It","Take It or Leave It > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120212988/take-it-or-leave-it,2.0,-1,Boulder,"V1- PG13",1,12,40.02796,-75.19527
Charpcuterie,"The Picnic Boulder > Toleration Statue > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120398396/charpcuterie,1.0,-1,Boulder,V0-,1,,40.03568,-75.20047
"It Always Rains On A Picnic","The Picnic Boulder > Toleration Statue > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120398439/it-always-rains-on-a-picnic,1.0,-1,Boulder,V0-,1,,40.03568,-75.20047
"Appleyard Arête","The Picnic Boulder > Toleration Statue > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120398458/appleyard-arete,1.0,-1,Boulder,V0,1,,40.03568,-75.20047
"Choss The Two Of Us","The Picnic Boulder > Toleration Statue > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120398363/choss-the-two-of-us,1.0,-1,Boulder,V0+,1,,40.03568,-75.20047
